,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
反,320,4,"[' variable measure of fabric (28.8 cm in width)/for kimonos', ' at least 10 m in length/for haori', ' at least27 m in length/for other clothes', ' at least06 m in length 300 tsubo (991.74 meters square,24506 acres) six ken (10.91 m),', ' anti- antithesis fanqie/traditional Chinese spelling system in which two characters are used', ' the first one for the onset, the second one for rhyme and tone]']","['たん', 'はん']","['又', '厂']",['反'],[3],['会意 Com. Ideographic'],[3],[225873],[224230],['R']
収,321,4,[],[],"['｜', '又']",['収'],[6],['会意 Com. Ideographic'],[3],[146647],[146002],['S']
叔,322,8,[],[],"['小', '卜', '又']",['叔'],[7],['会意 Com. Ideographic'],[1],[1376],[1347],['.']
取,323,8,"[' taking/taker/collecting/collector/remover/removal last performer of the day (usu. the star performer)/last performance of the day active partner (e.g. in judo demonstration) emphatic or formal prefix,', ' samurai receiving this much rice as a fee offering of rice cake containing this much rice person receiving this amount of money as a salary,', ' appropriation/obtaining]']","['とり', 'り', 'どり', 'り', 'しゅ']","['耳', '又']",['取'],[3],['会意 Com. Ideographic'],[3],[410712],[397528],['S']
受,324,8,[' vedana (sensation)]'],['じゅ'],"['爪', '又', '冖']",['受'],[3],['会意 Com. Ideographic'],[3],[318245],[318245],['R']
叙,325,9,[],[],"['禾', '又', '𠆢']",['叙'],[7],['会意 Com. Ideographic'],[1],[2192],[2109],['R']
叡,326,16,[],[],"['ハ', '卜', '又', '目', '冖']",,,,,,,
口,327,3,"[' mouth opening/hole/gap/orifice mouth (of a bottle)/spout/nozzle/mouthpiece gate/door/entrance/exit speaking/speech/talk (i.e. gossip) taste/palate mouth (to feed) opening (i.e. vacancy)/available position invitation/summons 10. kind/sort/type 11. opening (i.e. beginning) 12. counter for mouthfuls, shares (of money), and swords,', ' mouth/speech counter for people or implements]']","['くち', 'く']","['囗', '口']",['口'],[1],['象形 Pictographic'],[4],[200300],[113613],['S']
古,328,5,"[' antiquity/ancient times,', ' used item/secondhand item old/used/previous]']","['いにしえ', 'ふる']","['口', '十']",['古'],[2],['会意 Com. Ideographic'],[4],[117209],[50067],['R']
句,329,5,"[' section (i.e. of text)/sentence/passage/paragraph phrase verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry) haiku/first 17 morae of a renga, etc. maxim/saying/idiom/expression]']",['く'],"['口', '勹']",['句'],[5],['会意 Com. Ideographic'],[1],[24111],[23828],['P']
叩,330,5,[],[],"['口', '卩']",,,,,,,
只,331,5,[' ordinary/common/usual free of charge unaffected/as is/safe only/merely/just/simply but/however/nevertheless]'],['ただ'],"['口', 'ハ']",,,,,,,
叫,332,6,[],[],"['｜', '口', '十']",['叫'],[7],['形声 Phonetic'],[2],[7581],[7581],['.']
可,333,5,[' acceptable/satisfactory/allowed/permitted approval/being in favour/(a) vote in favour/aye Pass (grade)/Fair/C/D]'],['か'],"['一', '口', '亅']",['可'],[5],['会意 Com. Ideographic'],[3],[165873],[165025],['S']
台,334,5,"["" stand/rack/table/bench/podium/pedestal/platform/stage support/holder/rack counter for machines, incl. vehicles setting (e.g. in jewellery) level (e.g. price level)/range (e.g. after physical units)/period (of time, e.g. a decade of one's life) elevated area viewing platform dish tray meal 10. tall building/tower,"", ' tower stand/pedestal calyx,', ' Taiwan]']","['だい', 'うてな', 'たい']","['口', '厶']",['台'],[2],['会意 Com. Ideographic'],[4],[193902],[126169],['S']
叱,335,5,"[' shh!/sh!/shush! shoo!/go away!,', ' scolding]']","['しっ', 'しかり', 'り']","['口', '匕']",['叱'],[7],['形声 Phonetic'],[0],[919],[919],['.']
史,336,5,"[' history,', ' court historian]']","['し', 'ふひと']","['ノ', '口']",['史'],[4],['会意 Com. Ideographic'],[2],[99763],[78830],['S']
右,337,5,[' right/right-hand side afore-mentioned (esp. in vertical Japanese writing)/foregoing/forgoing/above]'],['みぎ'],"['ノ', '一', '口']",['右'],[1],['会意 Com. Ideographic'],[5],[118918],[116443],['R']
号,338,5,"[' number/edition/make/model/issue/part of that group sobriquet/pen-name size (of printing types, canvases, knitting needles, etc.) suffix attached to names of ships, trains, airplanes, etc.]']",['ごう'],"['一', '口', '勹']",['号'],[3],['会意 Com. Ideographic'],[3],[75923],[75594],['P']
司,339,5,"[' office/official chief/head (Yaeyama Islands in Okinawa) person (usually a woman) whose duty it is to officiate at religions ceremonies,', ' office (government department beneath a bureau under the ritsuryo system)]']","['つかさ', 'し']","['一', '口', '亅']",['司'],[4],['会意 Com. Ideographic'],[1],[85831],[39398],['S']
吃,340,6,"['[チー', ' forming a chow by picking up a tile discarded by another player]']",[],"['乙', '口']",,,,,,,
各,341,6,"[' each/every/all,', ' each you (plural)]']","['かく', 'おのおの']","['口', '夂', '攵']",['各'],[4],['会意 Com. Ideographic'],[2],[127269],[126584],['R']
合,342,6,"[' between-season wear/spring and autumn clothing/spring and fall clothing together condition/situation/state -ish,', ' gō/traditional unit of volume, approx.1804 litres gō/traditional unit of area, approx33 metres square one-tenth of the way from the base to the summit of a mountain conjunction sum/total synthesis (in dialectics) minor premise (in hetuvidya) counter for covered containers counter for matches, battles, etc.]']","['あい', 'い', 'ごう']","['口', '𠆢', '一']",['合'],[2],['象形 Pictographic'],[3],[727812],[706173],['S']
吉,343,6,"[' good fortune (esp. omikuji fortune-telling result)/good luck/auspiciousness unspecified day of the month (used to obscure the date a letter, invitation, etc. was written)]']",['きち'],"['口', '士']",['吉'],[7],['会意 Com. Ideographic'],[1],[73912],[3185],['S']
同,344,6,[' the same/the said likewise]'],['どう'],"['口', '冂', '一']",['同'],[2],['会意 Com. Ideographic'],[4],[833380],[827991],['R']
名,345,6,"[' name/given name title fame/renown/reputation pretext/pretense/justification/appearance,', ' counter for people (usu. seating, reservations and such) first name famous/great name noun]']","['な', 'めい']","['口', '夕']",['名'],[1],['会意 Com. Ideographic'],[5],[291373],[241836],['S']
吏,346,6,[' government official/public official]'],['り'],"['ノ', '一', '口', '丶']",['吏'],[7],['会意 Com. Ideographic'],[1],[435],[434],['S']
吐,347,6,[],[],"['口', '土']",['吐'],[7],['形声 Phonetic'],[1],[5124],[5061],['S']
向,348,6,[],[],"['口', '冂']",['向'],[3],['会意 Com. Ideographic'],[3],[249990],[244750],['P']
